Parameter,MAE,RMSE,R2,N_Test
Potencial de Hidrógeno (in situ),0.010767878499643776,0.013222166460449512,-3.721347306397562,153
Sólidos Suspendidos Totales,0.021503516297070584,0.023956503206458018,-94.93931022035574,47
Conductividad Eléctrica,0.23144917765789977,0.2523548776274467,-0.48050376917913185,153
Temperatura de la muestra,0.18764508939256855,0.22723943738317318,-0.6995722996201355,153
Caudal,0.007544902075317112,0.009578482011624865,,145
Oxígeno disuelto (en campo),0.01190181737780864,0.01415421539642701,-217.93723263836068,153
Turbiedad,0.014024979030445833,0.018479597312335234,-1.0627394821558513,153
Cianuro Total,0.023727223587532837,0.02747497110553969,,6
Plomo total,0.00997550102476299,0.01192260754655905,-9760.085672939162,47
Cobre total,0.010434781065689047,0.012866234592004125,-270.0331504484312,47
Arsénico total,0.032125345018512656,0.036806520349563415,-0.6905515335796957,47
Zinc total,0.010424050050121023,0.013567072045652133,-43.89608503110548,47
Cadmio total,0.02756767832021252,0.030534807446035806,,47
Mercurio total,0.008447340395961619,0.010836622099160842,,47
